name,name2,name3,name4,name5,name6,name7,name8,name9
Janis,Joplin,Janis Joplin,19701004,258,Lead vocalist and songwriter for Big Brother and the Holding Company,Drug overdose (heroin),Bld_-7gzJ-o?,0
Kami,Kami,Kami,19990621,140,Drummer for Malice Mizer,Subarachnoid hemorrhage,6g0MZTgla7k?t=5m33s&,0
Helmut,Köllen,Helmut Köllen,19770503,62,Bassist for prog rock bandTriumvirat,Poisoning,dYzfgIp24O8?,0
Alexandre,Levy,Alexandre Levy,18920117,98,Composer- pianist and conductor,Unknown,VAdCICcOYi4?,0
Rudy,Lewis,Rudy Lewis,19640520,271,Vocalist of the Drifters,Drug overdose,hycmrEg5Xv0?t=8s&,0
Sean,McCabe,Sean McCabe,20000828,289,Lead singer of Ink & Dagger,Asphyxiation,XclTSHor-1U?,0
Ron,McKernan,Ron McKernan,19730308,181,Founding member- keyboardist and singer of the Grateful Dead,Gastrointestinal hemorrhage,bPDlMeJ6bZY?,0
Jacob,Miller,Jacob Miller,19800323,324,Reggae artist and lead singer for Inner Circle,Traffic collision,HDEUeT88ajQ?,0
Jim,Morrison,Jim Morrison,19710703,207,Singer lyricist and leader of the Doors,Heart failure,PECk9A-07Pw?,0
Bryan,Ottoson,Bryan Ottoson,20050419,32,Guitarist for American Head Charge,Drug overdose (medication),SPwvVcBjONM?,0
Fat,Pat,Fat Pat,19980203,61,American rapper and member of Screwed Up Click,Murdered,7aELH0U2gkk?,0
Kristen,Pfaff,Kristen Pfaff,19940616,21,Bass guitarist for Hole and Janitor Joe,Drug overdose (heroin),TJgnDrB6Dgc?,0
Dickie,Pride,Dickie Pride,19690326,156,Rock and roll singer,Drug overdose (sleeping pills),yyizMBcRPnk?,0
Maria,Serrano,Maria Serrano,20011124,363,Background singer for Passion Fruit,Plane crash,cOV6HZVfFas?,0
Freaky,Tah,Freaky Tah,19990328,318,American rapper and member of the hip hop group Lost Boyz,Murdered,taA5RLot6YY?,0
Gary,Thain,Gary Thain,19751208,207,Former bassist of Uriah Heep and theKeef Hartley Band,Drug overdose (heroin),NgxNCwZUo3g?,0
Richard,Turner,Richard Turner,20110811,12,Trumpet player- collaborator with Friendly Fires,Cardiac arrest,DzerJbzdkps?,0
Dimitar,Voev,Dimitar Voev,19920905,107,Founder of the Bulgarian group New Generation,Cancer,XlZKh-wq8sg?,0
Jeremy,Ward,Jeremy Ward,20030525,20,The Mars Volta and De Facto sound manipulator,Drug overdose (heroin),lcD0W5q0OfE?t=25s&,0
Alan,Wilson,Alan Wilson,19700903,61,Leader- singer and primary composer ofCanned Heat,Drug overdose (barbiturate),1mOVlNdAgw4?,0
Amy,Winehouse,Amy Winehouse,20110723,312,Singer & songwriter,Alcohol poisoning,KUmZp8pR1uc?,0
Mia,Zapata,Mia Zapata,19930707,316,Lead singer of the Gits,Murdered,6CZrteWu7_w?,0
